alpha tmin tmax
-2.548685072122503 252849803.88251835 26694730145.693546
-1.5409517610569292 70383513.60902861 72689871449.014
-2.049796425590252 288360449.6608587 42552689247.918465
-2.1081017651883176 139289827.27658957 53189439717.41329
-2.10407156541186 287602018.343772 71179191803.56454
-2.155391672220234 147443659.45201808 31258463800.54842
-2.175371099449447 151395806.73789132 39709791152.66654
-1.2704290792761825 69549606.55323392 24882793842.81435
-2.5411358181600674 244762705.76557747 65965875859.011894
-1.8328105602422862 95906938.64997895 31976976092.8664
-1.790335310456162 279094457.59731245 18039192539.844048
-1.4715209425108013 94247346.07582977 84418303255.07285
-1.4359031446953563 86137726.05625346 66933453341.52269
-1.443447373445287 91927801.60762915 68595262768.3959
-1.4387965924540818 196280104.38377833 5892923728.5304
-2.4849817114580293 220365714.88151783 56764078422.4204
-2.027692729267786 242396030.820348 6255279665.814644
-1.4839820034050868 143475889.44478253 5161029508.375368
-1.5389184555080235 67375707.35378993 54898296014.55577
-1.658192954501797 239767275.81910336 43894128547.2502
-2.535032257695894 242311822.07279426 91289501964.3508
-1.8942033800023073 104497790.67330226 35563550919.899704
-1.4297776663725412 54742521.12790433 39760898725.689606
-1.8508985316157789 100247986.29056522 44123821354.35413
-2.4992015656742588 227149628.7352627 66084975516.14273
-2.443016627695465 275437562.35390127 37626640464.49968
-2.418054941904678 203064034.96577778 82486054076.63159
-1.7536070150741154 256430104.72429335 68093615870.09197
-1.8465665401485967 270496255.3355721 64128765273.61145
-2.2581155985239674 285959965.8490802 88965580053.22572
-1.530252348581419 175419753.41887844 62694098465.959595
-1.6378809340876146 75189800.29692782 54142165867.88204
-2.5040386185688925 229546834.1523356 40130669501.810394
-1.4150849043900755 55613568.85088257 40037758215.40139
-1.5059867796308057 66112150.26597982 48946097063.704865
-2.2325511775973474 286754741.78080404 72141416537.8397
-1.971661596226484 120139430.54815596 80535676261.90445
-2.532667451424633 252305135.5136082 23738792687.88215
-2.155597490871095 286547655.041367 75104000730.03854
-1.4618385005782923 83756920.40384322 71651726860.896
-1.9397733330362241 115166975.4319891 96032990989.69156
-2.4398821313241252 209391561.0377642 60709964565.970566
-1.448514665077509 80325119.50523734 62900479509.03605
-1.7269613076463712 85609290.01966456 99097114976.78995
-2.3709730427313187 190954969.27533737 24741560231.64038
-1.592880731602429 59315947.688737154 21617660589.33955
-1.2198499756649779 64438876.84629182 19380366846.910603
-1.3848916499577562 105461099.44226101 36371091325.69681
-1.12256772353716 26016094.581599027 15874640466.002827
-2.391645682078313 277794414.40117747 91095827310.37477
-1.6828746981222422 82222277.73825489 85656978547.12419
-1.7350041679890873 84341914.94146997 58629815398.025375
-1.5138138068015332 75643596.93381387 68771063390.24826
-1.9557065194291172 118777445.71950784 89983828324.01396
-1.36427004862679 110949447.55076851 30024784662.40952
-1.9083990562352227 109870826.36484039 90121365137.69138
-1.495757203550078 118064221.17684066 91393259612.73909
-2.3431540288078296 186576913.80251855 42555140786.37822
-2.259811139313119 284447970.26719075 62259496375.37721
-2.2820493660395655 283214357.0412625 80864599870.27003
-1.3881335237038572 71011769.5801844 37070894620.705894
-1.9539040836526913 196958428.80043623 6017576780.434877
-2.281502838058519 175986966.9362038 49422951824.46572
-2.1104618188852204 283999797.58782285 95281218363.02467
-1.4375106601012857 53218659.47589701 32212710276.188457
-1.545813674825204 230263942.91226506 21356049245.864258
-2.446521003160375 271380168.48681444 82792850283.09773
-1.7995728564644762 93257015.93115862 30112416369.29712
-2.5124020405006062 240630149.06433788 77475754652.87193
-1.937840346567112 115831146.64269821 64357196932.30199
-2.508321768263272 246670328.3393441 94425667604.25125
-1.6348078647755286 223666779.90927842 53462412068.325676
-2.3144542351959267 182836052.46127102 52212584595.92543
-2.429769858395847 239587527.18175483 9283106976.29664
-1.7232990679856668 76000893.14986454 12954915133.293379
-2.501982060173469 255986180.93521062 69163241723.96231
-2.2454370752168806 283821169.5208956 72551349218.7927
-2.5122488216803434 240091709.0736275 32363911754.397717
-2.018469188614824 283364407.12384087 37978027917.4669
-1.5783595277087237 199465730.5418787 65755204106.28213
-2.4143423012351826 274199775.8886068 38965700135.63913
-2.3297362914645374 279671258.5501698 77178284383.92818
-2.5025106905446375 245201113.89798117 96756211837.25697
-1.5721908750611044 72427811.17558397 63176940028.91217
-1.5183738099031574 84518413.5124825 91038354171.60808
-1.3406664592640691 50256379.19312401 7202953425.496466
-1.699964820835663 254407832.86154863 29140376614.98025
-2.0779177887445326 139780699.11590812 11524014084.612724
-2.492247209690003 263033552.23365653 38474529807.22202
-2.1061856379781205 291002755.6120163 16129753768.613337
-1.840452847606802 278632384.6153018 19418013612.102345
-2.3355354939966766 187472652.10716078 43510624721.194046
-1.5651157712112478 78223511.54373766 97821783059.0276
-1.6611833893537695 254442016.54241574 21686348553.818058
-1.21494033996993 149935969.3931633 10959027650.315666
-1.6229854541522235 63456426.57694257 12368522935.004465
-1.8752776657295374 271974831.9027082 53820277499.52625
-1.701952196058326 246406750.98692665 42798241056.7381
-2.154328220017863 284137432.1472794 48623744497.44682
-2.4893203437830174 255118822.56501544 71030899771.32494
-1.2654153794451597 110515459.47357853 5707153004.327698
-1.8859394635282694 273081569.9652133 54250479973.13612
-1.7697216693554338 94156514.01881926 68829792112.81775
-1.846558244847736 104182210.18702608 63520641551.750626
-1.5109592380257129 87771242.56421898 83077649810.57623
-2.036495366283621 280611115.0869385 93094468046.42966
-1.5259621104975476 141100446.42783692 98589964103.42767
-2.4885856086014666 254427710.73568437 56579371608.7493
-2.4894481406716937 251212970.53713334 72738779338.17287
-1.5591425106406218 60186586.86383683 25363454698.74078
-2.0959607886957685 282773077.4411259 63396150566.864044
-2.438462158476767 271219457.16328824 23378071601.10945
-1.4362798366915097 122170364.33015653 45748926492.45505
-2.086576503165523 141600198.72312003 66058153820.41194
-1.4647511099502233 70079019.69674265 44275996729.43665
-1.503101260782688 139792368.50386038 69122081020.45435
-1.8911960329263706 109283266.22825034 76598876185.09912
-2.38783537013148 274433258.6026341 72680791169.05002
-1.8567743945682582 279835090.2812028 18507307364.05968
-1.0279386873437373 32850619.76232077 10828124463.853981
-1.64366022861135 227418689.1576212 45649957484.99492
-1.3418345851110254 206071524.74760652 8898412557.794415
-1.4887980956485705 67335974.60256436 40431687260.71646
-1.4878873223410056 122078957.72225134 67971943834.91836
-2.0835086351969463 141744173.65439728 87041736389.59113
-1.6320791495917388 80107722.9704593 67593053255.810356
-1.8073180423251758 274327177.29674155 8983691354.446444
-1.7138281434999676 242336569.33529305 65220516075.520195
-2.346342991498829 193826629.38595316 87105466451.96031
-1.6245226302522902 215125280.1755279 59492706169.27817
-1.439604290176233 40683668.128845826 11994215455.567635
-2.4746890742432215 260949468.3704603 52960466360.02456
-2.1741650615726433 157212422.1219123 36614942936.84404
-1.5021187394447129 168155843.8681446 42439036461.094185
-1.9772446391898832 125335814.46004882 71570332971.4548
-1.494502959891491 79515047.94064075 58128009471.07439
-1.3320565041807721 49299517.17291018 22954922650.918705
-1.5854960528591753 73112949.41513278 50749681725.59223
-1.425984660946149 227704034.41961625 9927757155.14807
-1.5408307144268436 226966204.64994246 20396074275.57594
-1.3843052236624924 122623155.90271074 28731285342.64738
-1.7566909856752093 194676755.7367264 5681341258.851046
-2.338729221998455 193284894.0664896 80983362262.1764
-2.2525261082243797 174241355.86528113 41918130875.80607
-1.8971991632372898 109867142.0696559 42767850105.133064
-2.4751389314689263 255464021.76892853 28189747115.26658
-1.4779482469511973 126388647.5792067 56566839251.43365
-2.4681005450076148 258663939.07765827 43607934090.45491
-1.6003824048073987 196450106.6067531 81335950375.89175
-2.4623712483350104 232780704.53902254 78727297107.90642
-2.4492787687885067 266751630.03231362 48881856795.737495
-1.537567858453487 84556254.7070146 88264115192.87051
-2.1493840557970394 153437332.22928646 27284153973.05066
-2.459596661241479 261460372.3815637 98995435013.6004
-1.4950294666288708 121742743.91234545 68811673781.01521
-2.471721735527158 249316040.196477 71201487184.73169
-1.448108418873617 163742177.7298076 29876760327.345585
-2.4547880426870807 262761406.47406843 12172818544.618296
-2.4327751897651946 269083502.0569351 27400143530.59946
-2.4804884483096536 240558508.18992612 36090335939.443115
-2.3433533275874705 275376831.8540231 89381509139.22452
-2.139076641241278 282040899.69963944 44917812996.83639
-1.2972179788641616 29446663.773083966 16492182336.141167
-1.2395374949662057 58603353.35619684 19957566611.00938
-2.1981162828916583 281252953.30419517 83223473904.93852
-1.6167961400641382 82980965.88358726 99230105377.57011
-2.0350411278138765 278703382.72536284 86194969911.23802
-1.9160346225277478 112796707.28545262 27961787795.487785
-1.2924527417891158 100816012.62824085 20841050384.494385
-1.8816812471265525 108989973.11168863 49662194187.915344
-2.4616258185350706 254423116.46426448 95368929635.9987
-1.518570538548103 136514209.4775565 81913723551.20805
-2.4636886577133508 233312872.1204222 26329051354.24993
-2.243889529453886 280334697.1329832 50115717480.765945
-1.80974273749437 100639091.61918455 45325934815.56283
-2.4690456126046096 250675059.00778145 32269650387.897503
-1.3002958745138447 192509308.71784082 8447596491.039031
-2.3594629797240074 197399406.48056293 17877135549.135174
-1.892221046159682 270479014.07097673 72336030381.30449
-1.8291421056313308 261562064.5749558 69132231770.80159
-1.5041997252130654 210233625.6584294 21389040212.29212
-2.256390032901723 176188868.96015516 33938552228.723328
-1.9452036687321237 115211937.98900217 15229008280.677458
-1.7240658216437608 85650677.03135827 34344560843.206173
-1.3746707387005448 179289934.91093764 6482541509.290964
-1.6231809571831861 207522955.52150273 67358784407.07899
-2.454586798454668 255646206.28063533 73676512747.96605
-2.1042816622274607 280604643.31603146 53536644378.78731
-2.0082317210939054 131472255.98587166 68059448948.52819
-2.106428122346119 282502785.7468541 31167889107.95545
-2.385038196442253 207704172.20513695 92242973080.96436
-1.4317458841975983 80696070.23247069 45177309882.91482
-1.1686464121056455 97404809.13028516 6668820004.941706
-1.969504236267003 126247220.37614729 70501016799.73526
-2.200655798977198 165382422.2666153 60640721751.60383
-2.2633032216111406 179144264.33319676 53260177671.391304
-1.6177443419493822 76271210.8084418 38623990267.986115
-1.5951738590589826 233580669.9415305 23732758314.6121
-1.5146259962036135 213438300.08258986 21368067776.938126
-2.294085393146148 185408173.63279408 62301997699.232254
-2.2168815162956865 166420056.76105425 19524736718.010654
-2.4122363562031337 215808360.87139222 57016447875.88628
-1.5941039618113053 170679914.31125027 5610978566.570343
-2.4602972026982766 237446752.04641113 48600441802.324684
-2.4460423508580478 262037008.42432788 38318498577.10156
-1.851182175289733 263519805.54520035 80550568885.85768
-1.9500062245778809 122115756.99249266 40561957174.71536
-2.404258812719582 213214521.64867687 90715053862.66783
-1.4334725033247468 187249515.73460302 20406091663.529495
-1.6364763902795572 205304178.1658049 84939847081.32787
-2.108113066045159 150358225.5873358 86270951073.18086
-1.2292522818832718 141586091.89360538 12570085890.484108
-2.106343646153234 150088070.79759383 87690045303.94682
-1.5272066608554995 72081868.11187062 39545204467.32834
-2.462130171977851 242808459.74848035 31264628146.79298
-2.4504900495977733 249433920.53501332 82774175243.38075
-1.1994974396582025 56036061.51577093 16961618190.4545
-2.2413237177515066 278858488.5007014 47103182691.27351
-2.264566409756826 179132211.96660835 24501118268.34489
-1.4139755378145806 108793972.31154087 38426915494.88473
-1.8203926453217414 261449172.94720492 49550149476.66526
-1.821224303335872 105859900.74455297 90627137005.07332
-2.170551871778796 160370747.8477084 47362716394.488754
-2.430817929177603 230103596.3510372 12227496412.54346
-1.3928633193759548 153134112.40244916 22586825334.68047
-2.33678839312332 197967845.62691808 66012542872.134926
-2.18336188436787 279210926.68193656 65774785892.73087
-1.5496195887642619 55215021.70689851 15235037367.505548
-1.5366258297339135 155145300.40817004 69831939801.02124
-1.4668039175321628 94045259.55089478 50227843365.84543
-2.2202602873257544 278513651.6127312 75650524710.99158
-2.453089220352323 245727940.8006245 30018457087.117264
-1.5585947640171631 250622338.30490965 13561013738.947762
-2.3756926927441473 273033016.1638605 17915830544.37748
-1.4049872776830572 218584708.81728524 9239857499.93742
-2.38578243814397 269569290.7257522 52531071973.105736
-1.765142212511674 96098102.08659159 45469024637.17249
-1.622370305791346 83597301.4009534 70917961876.97783
-1.6223807497966958 74589709.96616983 27571737464.564716
-1.4754512658939387 116923655.27246882 51645100834.276115
-2.05531751660411 141243957.26275405 94511130726.59935
-1.6195980994956227 198273955.95295262 78412021412.87752
-1.6942343717712458 238886495.23719123 42405486856.86218
-1.755058180848605 247097579.81953546 62780967541.16208
-1.4990109780240286 122522705.38149604 60900800810.86293
-2.441570570163704 235762113.23372722 49452696407.631454
-2.3305063090108535 197206885.42872387 36881663149.36072
-1.8455936046429766 108525510.84030657 68286733282.25897
-2.3922355859699502 213223091.88905844 92073874995.63562
-1.601869218857011 254784207.90353537 14610934094.667696
-1.8036706369300024 99972122.11299112 11155049879.465828
-1.5757189851725617 72675942.76253618 37821950905.69791
-1.5422315114558793 158608925.15914664 69911864797.1839
-2.399250222572357 270057365.594431 16694016402.857237
-2.211234801942706 169501217.72526208 29526873228.34769
-2.2963309337711806 274000359.3098349 81793705028.71999
-1.653166481150649 221791188.79619616 48153821234.26495
-1.649857641030413 85610183.46123387 57313731439.59828
-2.4357443856219945 235820235.8126799 97005313122.57451
-1.673669454820331 88029249.56667273 55392192738.730545
-2.4405623026534555 246147112.96249077 41834854098.99605
-1.3623931272296543 84573443.63676946 27382514603.23989
-1.8968811974192468 267930950.41908228 87611337488.63249
-1.7006048713022897 237066342.8821249 48114255946.31721
-1.6664542782808522 88610191.24399251 61567146595.39935
-2.411359618808776 264505978.08411905 99521841248.8941
-2.0326587904871225 138207459.46888906 95940141491.7141
-1.523815464533607 82537557.97878373 55939637702.62613
-2.4211340122720926 229787589.33410114 63834184986.00895
-2.0961280952332477 150014994.86089998 65758091860.07408
-2.226863759293688 277201535.7708783 63837831907.07414
-1.6666858685251382 219724079.58877066 62458503680.41857
-2.298727785434248 191309831.17765898 92849344721.91289
-1.7031485884095827 94480105.32955447 87383351350.78867
-1.5620458453011468 92024077.40311037 99852011892.82834
-1.670006485716218 216272007.57951522 80093103840.24287
-1.5214843069815596 122119064.42001721 75790876978.78058
-1.2740249884455648 148470494.20308626 14382689144.646616
-1.2929611534826146 111939737.64730375 18616631334.29822
-2.4392486715760207 238316259.64266115 52302168973.068756
-2.2597615137663984 182591574.53487596 88774601096.97475
-1.8140605111125274 104904657.56844744 51964600095.547066
-2.305240951270597 193688172.0710334 96399645602.78519
-1.8032708347328852 103973366.08612452 56616032223.02266
-1.8316227611127707 107972454.28191864 70741172257.73413
-2.4195781900511193 230643495.40614402 62970063101.99946
-2.2426839025251453 179094103.28142327 69421493288.19199
-1.9754516977489027 237272146.7916384 6752003288.128174
-2.436409125106925 238903613.62000343 96112743229.67119
-1.869867580680292 108252979.61656098 25000548747.340656
-2.3906881397083053 213729147.21925676 30246734177.714073
-2.3683399364779927 209076307.98143494 57761674464.052345
-2.189964587344901 276171797.3507989 10767029454.49356
-1.9149165497250964 268288186.1604755 87060973070.33679
-1.6163331035601183 156158728.53987718 5850824519.146977
-2.4014510906329463 223109143.17302027 69929145066.00552
-2.1605926951014434 160815901.1834014 36688909631.04019
-1.571895317270985 172619614.45590895 82133043571.93318
-1.5512080984523307 193965979.2529734 35754448075.44021
-1.4062296123170575 142003600.70003262 26064139166.493908
-2.412249219642098 257401182.6963248 67741300332.6425
-1.7678112691545227 98875937.16073747 10065427546.403933
-1.3237155198254875 130376882.6384151 18326516018.327362
-1.8117242490878 106962434.24744172 86466059573.16884
-1.254865414679806 159481487.35553542 10957315870.505285
-1.8693992502782733 113175566.73684983 59414711153.440544
-1.5204901866838476 114653593.15422167 73538070696.03616
-2.0654973655485493 277603793.97656 44139935401.9529
-1.3037689735483307 103956885.79631178 19844337826.610065
-2.445742392714818 239984278.58392292 17986384345.038292
-1.93682283143819 268926095.0859108 89645738359.54056
-1.8561897083733485 112837543.01742531 87030891298.75397
-2.411656225458724 259259776.66000775 37427465586.55865
-1.656603865379874 224906546.00404155 40965251745.63174
-1.5451749100801453 92813788.22127879 74489822208.1612
-1.8590829719766635 259248702.69928858 98337368749.27461
-1.5702687988786828 85701333.26831962 79569370537.3193
-1.8723925700101836 171188818.00513822 6535570886.238087
-2.262540166296671 184138147.05550542 55190517421.290436
-2.280156909846149 188341168.9668058 98855077486.99019
-2.338959315459385 271283638.7126472 28712062886.204857
-2.114481589456814 153815194.66099685 36955012792.633606
-2.394324191703195 221451589.6916274 49954427217.37127
-2.422434458605598 235792069.39354515 59847015045.79955
-2.059080439421994 276697208.08027005 54179229242.87632
-1.356423179902205 39084718.57723723 10316741093.684177
-1.6354001037407884 197827098.5023607 86917517826.5188
-1.648704557554761 205609127.20289087 78618094475.37321
-1.6784935564546164 134121362.30286175 6415849845.872696
-2.371719687680218 270427637.2366042 17558971985.1969
-2.3805760464035983 267266244.09941864 38110950864.44502
-2.112504013840603 280988247.3912458 20740862431.50639
-2.43093518862955 238915572.3857522 34350839578.709415
-2.420590770258574 249850325.74938756 33361960246.181587
-2.4349287108057602 242672234.8007782 20552795450.730396
-1.8550864913284877 259298256.1834659 77568281542.9306
-1.558171505855781 205723369.80036432 29195994520.884148
-2.1952075663186186 276009846.0230784 65994552009.325905
-1.9565207505103483 272957659.78837687 37347328470.12242
-2.4229575836046413 238633099.9941992 87595610335.40755
-2.3637393781611684 268662094.3256296 31967303136.376995
-2.229490817199137 281118880.36692643 14123924429.375319
-2.42099382688739 237583530.57525983 55093341084.527054
-2.0731808401868905 276278601.70572203 51618482772.11778
-2.3070601843696483 197590601.23086295 68968248448.35928
-1.1382523832464475 56901598.41914923 6962193075.420697
-1.9151557455397836 267785685.3178135 71738979706.36284
-1.3334624965221638 158822828.61352348 15799940869.93012
-1.0885294384306932 80860431.0885765 9058564536.23566
-1.5220241434456367 102377196.8229346 65515105728.25638
-1.662614190755411 85888572.25914955 39416301258.41571
-2.3534842739465978 267851755.15670675 88885834356.85695
-1.259784720537457 52077450.159569465 19494861075.517597
-2.4165272568844776 243566959.5442855 71020282438.38237
-1.7401075485681294 247137156.83050275 41416811652.85184
-2.381615877609022 217732761.27556542 37397894428.54927
-1.674783614366143 95793963.16470574 83647764035.71881
-1.6939051565864878 218635538.48351526 95582441395.6221
-2.415285296357971 242764628.313234 97352729780.12917
-1.7473261555576471 241089990.3605158 70981410132.9747
-1.6149848481973343 82355492.24912865 46737933654.702
-1.7601627653058465 247604184.93447497 47487762923.13951
-1.9178843132521013 123544231.23197845 90699156051.6056
-2.362849743211975 267674554.9442517 38115306041.23935
-2.317781756977095 201365746.03284925 62125397912.65142
-2.2349955812992897 274193637.7006595 63180347423.37319
-1.7303631833516802 233333218.37873077 90587675330.08778
-2.416725904469248 240747155.8248446 85278956593.02518
-1.620833121922011 203447850.61358356 53191044675.99828
-2.0654074880312803 274329855.68530166 98428355007.80449
-1.4201838654248569 155264146.18807298 6049838181.435038
-2.4152508573720795 249341499.19722414 24730061157.219097
-1.7224238992303564 247493035.6436329 31911999771.041214
-1.7081986515685923 223738494.18520674 93958119480.88387
-2.4086790199610193 225905382.9659882 14080579581.09766
-2.382728591259584 221262263.7016602 48694837073.41591
-1.908073011397243 121806519.20911784 81120284889.82898
-2.345401858535578 231673009.41981098 10284965423.04241
-1.431394961006519 151189703.81533125 26727872521.41399
-1.753506457062751 97310193.12869692 40245280333.48965
-2.3892706481552675 259912351.63745213 47544725563.16159
-1.3932492866391364 89492494.32116494 29719889560.409527
-1.4164130903890961 86663380.67378226 35463221390.497536
-2.3692322647537885 266022070.43419707 90976750115.69742
-1.7194065023639742 98970673.2216307 95028172216.50737
-1.7072048074488455 90181870.92100954 33235317382.968536
-2.389084507370196 258607553.66124228 50814707136.63735
-1.6509589532121995 84512579.78156419 37215314723.80267
-1.619461605755583 227015505.983948 6975759695.086876
-2.380228694439535 223154691.1722001 85869950565.50092
-2.200582997438186 174436215.548071 74561726055.49483
-1.9171557782702662 121127773.79843378 33522399165.91281
-2.283293566663816 193994996.82686767 12089056898.751694
-1.6560003699501662 97144741.91863187 91183283784.53647
-2.4149026218383827 241782464.9219702 30547584264.249153
-1.7699658966498664 241651069.42011684 85653296555.50127
-1.1905939443262177 47153367.83476642 15501912981.307247
-2.178773428572447 278191328.5502081 21513788995.60201
-1.9347250093639432 126777127.66409498 70413927083.86987
-1.5497158466582936 100686365.1323722 79289770064.4046
-2.4039301890486477 244127458.51102823 97328394656.84016
-2.3772539648879505 260856318.19296446 71563649819.07414
-2.285935028585697 270780794.34667385 49318741011.09009
-2.0943422800848888 153945797.80945563 67965448067.22299
-2.366953353260138 216299013.81785527 57418123705.349236
-1.5162486349069204 132769026.22014736 56228714454.14076
